date,state,positive,new_positive,negative,death,new_death,hospitalized
20200430,Alaska,355,0,18764,9,0,
20200430,Alabama,7019,177,80177,269,24,978
20200430,Arkansas,3255,63,45124,61,2,402
20200430,American Samoa,0,0,3,0,0,
20200430,Arizona,7648,446,64138,320,16,1937
20200430,California,48917,2417,576420,1982,95,
20200430,Colorado,14758,23,56301,766,6,2621
20200430,Connecticut,27700,933,69433,2257,89,
20200430,Washington DC,4323,217,15756,224,19,
20200430,Delaware,4734,79,17086,210,6,
20200430,Florida,33690,497,348715,1290,50,5795
20200430,Georgia,26155,532,122889,1120,27,5156
20200430,Guam,146,1,1962,5,0,
20200430,Hawaii,613,4,30027,16,0,69
20200430,Iowa,7145,302,35522,162,14,
20200430,Idaho,1984,32,26862,60,0,175
20200430,Illinois,52918,2563,216949,2355,140,
20200430,Indiana,17835,653,77163,1114,49,
20200430,Kansas,4238,500,27388,129,4,523
20200430,Kentucky,4539,164,49562,235,10,1359
20200430,Louisiana,28001,341,133308,1862,60,
20200430,Massachusetts,62205,1940,213442,3562,157,5942
20200430,Maryland,21742,893,92617,1226,58,4559
20200430,Maine,1095,39,19546,53,1,170
20200430,Michigan,47505,1017,168944,4434,99,
20200430,Minnesota,8116,648,73349,343,24,1044
20200430,Missouri,7562,137,73125,329,11,
20200430,MP,14,0,585,2,0,
20200430,Mississippi,6815,246,59525,261,11,1175
20200430,Montana,453,2,13461,16,0,61
20200430,North Carolina,10509,561,117527,378,24,
20200430,North Dakota,1067,34,26393,19,0,85
20200430,Nebraska,3784,410,21537,68,13,
20200430,New Hampshire,2054,44,19867,66,6,259
20200430,New Jersey,118652,2388,129266,7228,458,
20200430,New Mexico,3213,239,61872,112,2,536
20200430,Nevada,4998,100,36988,269,12,
20200430,New York,304372,4681,596264,18321,306,77400
20200430,Ohio,18027,724,115863,975,38,3533
20200430,Oklahoma,3618,145,59804,222,8,703
20200430,Oregon,2510,64,53522,103,2,578
20200430,Pennsylvania,45763,1397,175602,2292,97,
20200430,Puerto Rico,1539,106,9313,92,6,
20200430,Rhode Island,9016,348,50100,266,15,896
20200430,South Carolina,6095,214,50417,244,41,1000
20200430,South Dakota,2449,76,14579,17,4,173
20200430,Tennessee,10735,369,166891,199,4,1045
20200430,Texas,28087,1033,302213,782,50,
20200430,Utah,4672,177,103829,46,1,390
20200430,Virginia,15846,885,75663,552,30,3654
20200430,Virgin Islands,66,4,807,4,0,
20200430,Vermont,879,13,14357,49,2,
20200430,Washington,16309,267,189001,801,15,
20200430,Wisconsin,8052,392,69394,316,8,1512
20200430,West Virginia,1118,23,43423,41,3,
20200430,Wyoming,544,8,8902,7,0,56
